"","p_value","morans_test_statistic","morans_I","q_value","pseudotime_module"
"226",0.634565652489762,-0.343970202821402,-0.00317298565264013,0.850919438863987,1
"227",NA,NA,NA,1,1
"228",0.596428043303281,-0.244112213819939,-0.00281664447696281,0.850919438863987,1
"229",0.355949155557832,0.369307801592869,0.00201503040202377,0.789073319657342,1
"230",0.596093756319803,-0.243249029247657,-0.00286997394559207,0.850919438863987,1
"231",0.0133114129827624,2.21700388625677,0.0172975437591832,0.0965885880310356,1
"232",0.720993383154736,-0.585795075095843,-0.0053330741352437,0.857865829104635,1
"233",0.896426272311333,-1.261448078821,-0.00118147731754099,0.926636030949307,1
"234",0.612277029046926,-0.285258712510503,-0.000958124529456048,0.850919438863987,1
"235",0.468072090102279,0.0801170276113539,-0.000241549095826328,0.850919438863987,1
"236",5.37161596723968e-08,5.31368151195104,0.042916285828867,1.68162960348981e-06,1
"237",0.282946791259865,0.574109681169917,0.00372174251797178,0.70552764975431,1
"238",0.580266337883672,-0.202574881949566,-0.0022582144518244,0.850919438863987,1
"239",0.329746158830283,0.440614204561758,0.00272996650835813,0.757339595851225,1
"240",0.0116748825777614,2.26766282757209,0.0159997559346202,0.0872145799781934,1
"241",0.827176058623486,-0.94306455805399,-0.00110863095238096,0.891995015868891,1
"242",0.760171274742265,-0.706853617378664,-0.00669690460759681,0.866403141861883,1
"243",NA,NA,NA,1,1
"244",NA,NA,NA,1,1
"245",NA,NA,NA,1,1
"246",NA,NA,NA,1,1
"247",NA,NA,NA,1,1
"248",0.0964192050130675,1.30222813499724,0.00862521398285762,0.382652562696164,1
"249",0.829436827018998,-0.951942101701898,-0.00859561666986628,0.892900383355163,1
"250",0.726298853579509,-0.601657278766677,-0.00103051673567977,0.858995531698475,1
"251",0.889250553512226,-1.22255215649917,-0.0104823687372203,0.924313054750241,1
"252",6.75756736268591e-07,4.83202489874689,0.0389648779324789,1.76393807089022e-05,1
"253",0.266191071410198,0.624373776366907,-0.00075,0.684255265391477,1
"254",0.00163493174004917,2.94115928026955,0.0212458183384896,0.0176576504467669,1
"255",0.217557957312417,0.780467220458452,-0.000714285714285712,0.617425769912699,1
"256",0.720055756577944,-0.583007150179085,-0.00570056240547542,0.857491359106441,1
"257",0.0102064872730965,2.31866929658494,0.0182680930888144,0.0787641669274957,1
"258",0.660872941368875,-0.414846717741615,-0.00428918483072708,0.850919438863987,1
"259",0.522037749837949,-0.0552685713330387,-0.00132858870044633,0.850919438863987,1
"260",0.333532298300313,0.430180155026817,0.00259870875669044,0.763069257364035,1
"261",0.566605880969695,-0.167739476947601,-0.0022620812850809,0.850919438863987,1
"262",NA,NA,NA,1,1
"263",0.927852856843671,-1.45998467311955,-0.0128282553012875,0.945390842841499,1
"264",0.0804060975128321,1.40234517993868,0.0105983808797182,0.341270439186013,1
"265",0.72565966420019,-0.599738281020763,-0.00551089655020037,0.858995531698475,1
"266",0.102873711173135,1.26534572439059,-0.000603345184227545,0.398291333951417,1
"267",0.0122132825761363,2.25035269825413,0.0174787664497772,0.0906230957173057,1
"268",0.974006664263957,-1.94324410469342,-0.0167556702280895,0.977386210436157,1
"269",0.759417280244276,-0.70442934023138,-0.00657539231354803,0.866136614260371,1
"270",0.880511265841386,-1.17754645203506,-0.010414945937132,0.91893222164834,1
"271",0.703003274668527,-0.533057972375758,-0.0048040793088932,0.852209405371751,1
"272",0.0434201763269067,1.71230566821937,0.0130908317680524,0.228580067228038,1
"273",0.684054174520935,-0.479066036036351,-0.00477752162092256,0.850919438863987,1
"274",0.728354779109406,-0.607844756738695,-0.00545493811929827,0.858995531698475,1
"275",0.833044777281267,-0.966267297739508,-0.00882411727542166,0.894536101828813,1
"276",0.000288854418655442,3.441869519209,0.0273740823699731,0.00417150014629242,1
"277",3.65886759294204e-28,10.9412580450721,0.0896355896432509,5.41988354011415e-26,1
