"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18"
"Mcm8",1,0.0691789052423689,0.0518569562301011,0.0025729771167096,0,0.0246176330613116,0.0228780335852291,0.0188154802975728,0.0139313646476258,0.00842259125274895,0.0045766680895065,0.00294390676583891,0.00253622959849379,0.00227048596540187,0.00166690547547032,0.000857909362596765,0.000437415622141035,0.00100054380319191,0.00214447301805968
"Rrbp1",1,0.873697346345838,0.845802211436717,0.861073921786667,0.728771565942479,0.722573417348823,0.827576332712523,0.771330496136635,0.727496712373833,0.715447726471795,0.736825704335198,0.698759522342136,0.642390597088372,0.548801626244129,0.549004567584559,0.539551762186533,0.41053232071831,0.508209826892653,0
"Acss1",1,0.846069495138044,0.797861527403065,0.602457891353816,0,0.718249537924984,0.744883811141877,0.737735876145708,0.719981884120376,0.613533626585284,0.556837536479337,0.413741578710393,0.334647882662154,0.332688868156563,0.365127814597343,0.374076003538141,0.339866818426073,0.439272176354714,0.0158874322702105
"Abhd12",1,0.841807541617532,0.81279176891075,0.96929634435388,0.871086598302618,0.622609389503363,0.733530139565978,0.683291367623724,0.645887062365989,0.613892990379287,0.625695340134599,0.598765940170408,0.524610956352397,0.451233024617137,0.458763291467479,0.460401145458157,0.401373293376745,0.476211133792109,0
"Chmp4b",1,0.826933312327657,0.721660540072146,0.365115613489447,0.000221745015441002,0.705660571045479,0.732333063611539,0.799033294632396,0.627535582053713,0.457220770253904,0.392552078294121,0.304156533947596,0.284454230460479,0.293481967926352,0.313610141806606,0.317663550457708,0.287246186807575,0.416351677937945,0
"Itch",1,0.856229327582315,0.833495834799407,0.877617495451711,0.0961157549372448,0.746519169205899,0.785834031322931,0.708843512989142,0.719636344059648,0.674976840597738,0.722443883525795,0.67151711288323,0.644462654716529,0.517908431138885,0.511908190134767,0.452690640063727,0.388063206850508,0.477243942514488,0
"Trpc4ap",1,0.848754915102367,0.795497924662137,0.557636613123211,0,0.6670985461605,0.709715387822559,0.672364680265409,0.659083616552727,0.648994170062392,0.74943452633424,0.799699776913965,0.67988140332026,0.44238271438189,0.391386177188952,0.402661369877409,0.384710310278904,0.479567919209324,0.00242646673954464
"Pmepa1",1,0.869154972154435,0.850532738569492,0.893000054323332,0.11779325906232,0.762250397054553,0.818538921315327,0.734031472024818,0.730944118140368,0.71512374827174,0.757934262927315,0.694870589718808,0.741905036081808,0.728909298417612,0.759439608187449,0.75282579386199,0.574086618353057,0.64710516505778,0
"Pag1",1,0.874054595406717,0.843000193256243,0.851061936726824,0.789418461001201,0.706162583634546,0.816730972230839,0.763637750092168,0.719300727778381,0.707603574239115,0.725071193459168,0.688853315979022,0.626686120437889,0.531786982010825,0.532325364093496,0.525082628842004,0.408600806381531,0.501533895176847,0
"Gm16337",1,0.85123105216075,0.813879746920815,0.612742957105061,0.0584345279463973,0.650996347381604,0.709730107101479,0.670749189794853,0.656949859017036,0.611289434600104,0.663287075651494,0.602549702207784,0.639896346648238,0.638723045708705,0.663979315034031,0.745524650312355,0.923494705166782,0.678914511718067,0
"Hps3",1,0.857531528508825,0.839721033550397,0.946224598185364,0.236108226383127,0.763600902262856,0.815894091283453,0.737836417513349,0.728349773398904,0.675350641247373,0.720241032331766,0.656943074257749,0.615164138642665,0.504759732148728,0.518643990312458,0.47099787369466,0.389894072788415,0.47696417448673,0
