,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Z1,Z2
Srgap2,0.7814605,0.5406215,0.51060504,0.6570767,-0.59386903,0.3755917,0.4641652,0.3228429,0.31627676,0.2516901,0.32744277,0.22929744,0.22165361,0.054194316,0.06352339,-0.048737884,-0.2603966,-0.08144556,-0.9684221,-0.7561671733856201,-0.39548084139823914
Rbbp5,-0.3178835,-0.3920626,-0.36717153,-0.53546107,-0.8932678,-0.68755275,-0.57336533,-0.61657614,-0.6149122,-0.66807324,-0.3769678,0.9597549,-0.6980698,-0.7248283,-0.7939119,-0.7508202,-0.8225632,-0.91625506,-0.9210828,0.684829831123352,-0.1221478134393692
Mdm4,0.22947705,0.03609704,-0.018317223,-0.41231757,-0.90624845,-0.29969364,-0.1744219,-0.19030897,-0.2507301,-0.30455345,-0.24903129,0.5137257,0.0133354515,-0.3781194,-0.47631758,-0.49701434,-0.506027,-0.32825637,-0.9868941,0.09082409739494324,-0.14527897536754608
Gm19461,-0.8900794,0.7760188,-0.8380702,-0.9887648,-1.0117282,-0.9867262,-1.001157,-1.0135059,-1.0198721,-1.0149894,-1.0172628,-1.0253121,-1.0292901,-1.0309203,-1.0336531,-1.0386139,-1.0446172,-1.0466876,-1.0360426,2.5157392024993896,1.6465791463851929
Kif21b,-0.010532953,-0.101778165,-0.10686511,-0.30901176,1.0141493,-0.090197325,-0.11949484,-0.2631706,-0.2879855,-0.3061359,-0.32347977,-0.3435313,-0.3775949,-0.40215206,-0.39795357,-0.40963554,-0.46457446,-0.32410133,-0.94923335,-1.3483309745788574,1.2055126428604126
Gm4258,0.6166866,0.390849,0.34193653,0.1975805,-0.9169232,0.13396117,0.22317809,0.1289576,0.12374669,0.0708277,0.15339902,0.022655677,0.08672759,0.08109862,0.13783646,0.18268092,0.3540246,0.23076513,-0.957923,-0.5575710535049438,-0.7336726188659668
Gm26936,0.6724894,0.34532547,0.0060486346,-0.83253837,-1.0110415,-0.7164966,-0.49694633,-0.49902308,-0.554107,-0.60223764,-0.64451885,-0.6792425,-0.70872056,-0.7317457,-0.7471672,-0.7594585,-0.7485231,-0.6119856,-0.95481235,0.030370935797691345,1.437939167022705
Ptprc,0.354383,0.16997443,0.14214355,-0.028279126,0.92158175,0.19768952,0.114587225,0.029478379,0.036920708,0.03152068,0.050430726,0.008682147,-0.06318304,-0.16382396,-0.15263025,-0.152104,-0.2768718,-0.14843386,-0.9514031,-1.5364649295806885,0.2934728264808655
Nek7,0.53324676,0.30401984,0.2629528,0.05935348,-0.89336306,0.05832983,0.14960049,0.06692636,0.05030806,-0.03355682,0.093489535,-0.013698272,0.02708799,0.036551196,0.07145976,0.052182086,0.23184289,0.6297244,-0.9287527,-0.5367960929870605,-0.906566858291626
Gm28501,0.4013999,0.115880415,-0.087652996,-0.5709341,-0.86041105,0.045017205,0.12954724,0.28566134,-0.24670358,-0.40649247,-0.47028434,-0.54812306,-0.55711573,-0.54532456,-0.52169794,-0.5255964,-0.5708865,-0.36112893,-0.97417873,0.1177329421043396,0.5248440504074097
Dennd1b,0.78296226,0.5415117,0.5114901,0.6610338,-0.58635724,0.37665373,0.46577948,0.32474905,0.3171728,0.2509367,0.32679272,0.22786456,0.2153373,0.044716977,0.054779,-0.05625026,-0.26208037,-0.08500756,-0.96868044,-0.7567270994186401,-0.38858702778816223
Cfh,0.31327188,0.11807243,0.095573135,-0.018578395,0.9579374,0.0803493,0.029125914,-0.058604598,-0.060586035,-0.05774416,-0.03747744,-0.06723292,-0.14467175,-0.2271242,-0.21967049,-0.21888079,-0.31253988,-0.19827838,-0.9500151,-1.393968105316162,0.4675435721874237
Cdc73,0.70504135,0.46697706,0.4127525,0.3151721,-0.9240802,0.23046154,0.2953897,0.17770186,0.18771514,0.13885847,0.22749656,0.19617,0.2811622,0.08834733,-0.01137691,-0.1946636,-0.294639,-0.1280881,-0.9748234,-0.5272520780563354,-0.36226946115493774
Brinp3,-0.8643878,-0.85899496,-0.79194015,-0.8427749,-0.8266373,-0.86208564,-0.8764309,-0.8662142,-0.872408,-0.878786,-0.88379496,-0.8913683,-0.90499616,-0.91938865,-0.91165674,-0.88914037,-0.88918126,-0.8853836,1.0000669,1.4906024932861328,-2.722320079803467
Pla2g4a,0.2677497,0.08062875,0.061590254,-0.0803552,0.9568665,0.09152896,0.00781776,-0.07996559,-0.07998741,-0.08020982,-0.06149915,-0.09165187,-0.165773,-0.24069582,-0.23278062,-0.23249193,-0.32127172,-0.2076392,-0.9490412,-1.441179633140564,0.5575016736984253
Ivns1abp,0.3570006,0.10023041,0.124221355,1.0361668,-0.81780505,-0.21682273,-0.085895404,-0.17639737,-0.2193696,-0.28417748,-0.2681582,-0.28340143,-0.32288873,-0.351694,-0.35851645,-0.39322907,-0.47542626,-0.33747727,-0.9450868,-0.5358941555023193,0.6699728965759277
